T/B1,B2/Nsur1,Nsur2,Nsur3,Nsur4,Nsur5,Nsur6,Nsub1,Nsub2,Nsub3,Eads,Adsorbate
Cu,Fe,Cu,Cu,Ni,Co,Fe,Fe,Fe,Ni,-0.411773565,COOH
Ni,Cu,Co,Co,Fe,Co,Cu,Ni,Mo,Co,-0.447642145,COOH
Ni,Co,Co,Fe,Co,Cu,Cu,Ni,Mo,Co,-0.732865585,COOH
Ni,Co,Fe,Co,Cu,Cu,Co,Ni,Mo,Co,-0.667912545,COOH
Ni,Fe,Co,Cu,Cu,Co,Co,Ni,Mo,Co,-0.652803895,COOH
Ni,Co,Cu,Cu,Co,Co,Fe,Ni,Mo,Co,-0.608869465,COOH
Ni,Cu,Cu,Co,Co,Fe,Co,Ni,Mo,Co,-0.450642335,COOH
Fe,Ni,Co,Ni,Co,Mo,Co,Co,Co,Cu,-0.625465895,COOH
Fe,Co,Ni,Co,Mo,Co,Ni,Co,Co,Cu,-0.672874945,COOH
Fe,Mo,Co,Ni,Co,Ni,Co,Co,Co,Cu,-1.100972375,COOH
Co,Ni,Cu,Cu,Mo,Fe,Ni,Mo,Cu,Ni,-0.734521645,COOH
Co,Cu,Cu,Mo,Fe,Ni,Ni,Mo,Cu,Ni,-0.697390775,COOH
Co,Mo,Fe,Ni,Ni,Cu,Cu,Mo,Cu,Ni,-1.534700825,COOH
Cu,Co,Ni,Co,Ni,Cu,Cu,Fe,Ni,Mo,-0.224235645,COOH
Cu,Ni,Co,Ni,Cu,Cu,Co,Fe,Ni,Mo,-0.119551845,COOH
Cu,Ni,Cu,Cu,Co,Ni,Co,Fe,Ni,Mo,-0.097264185,COOH
Cu,Cu,Cu,Co,Ni,Co,Ni,Fe,Ni,Mo,0.115324435,COOH
Cu,Cu,Co,Ni,Co,Ni,Cu,Fe,Ni,Mo,0.078857105,COOH
Co,Ni,Co,Fe,Co,Ni,Cu,Mo,Mo,Cu,-0.738861585,COOH
Co,Co,Fe,Co,Ni,Cu,Ni,Mo,Mo,Cu,-0.803259985,COOH
Co,Fe,Co,Ni,Cu,Ni,Co,Mo,Mo,Cu,-0.712515775,COOH
Co,Co,Ni,Cu,Ni,Co,Fe,Mo,Mo,Cu,-0.659719525,COOH
Co,Ni,Cu,Ni,Co,Fe,Co,Mo,Mo,Cu,-0.690423805,COOH
Co,Cu,Ni,Co,Fe,Co,Ni,Mo,Mo,Cu,-0.586371935,COOH
Co,Co,Fe,Fe,Ni,Fe,Ni,Co,Cu,Mo,-0.714870415,COOH
Co,Fe,Ni,Fe,Ni,Co,Fe,Co,Cu,Mo,-0.931132305,COOH
Co,Ni,Fe,Ni,Co,Fe,Fe,Co,Cu,Mo,-0.757066305,COOH
Co,Fe,Ni,Co,Fe,Fe,Ni,Co,Cu,Mo,-0.817266425,COOH
Co,Ni,Co,Fe,Fe,Ni,Fe,Co,Cu,Mo,-0.676067075,COOH
Ni,Co,Fe,Fe,Ni,Co,Fe,Cu,Mo,Co,-0.727884545,COOH
Ni,Fe,Fe,Ni,Co,Fe,Co,Cu,Mo,Co,-0.821396035,COOH
Ni,Ni,Co,Fe,Co,Fe,Fe,Cu,Mo,Co,-0.495294325,COOH
Ni,Fe,Co,Fe,Fe,Ni,Co,Cu,Mo,Co,-0.695991625,COOH
Ni,Ni,Fe,Co,Co,Cu,Co,Ni,Co,Mo,-0.470549925,COOH
Ni,Fe,Co,Co,Cu,Co,Ni,Ni,Co,Mo,-0.724337785,COOH
Ni,Co,Co,Cu,Co,Ni,Fe,Ni,Co,Mo,-0.722669545,COOH
Ni,Co,Cu,Co,Ni,Fe,Co,Ni,Co,Mo,-0.714707435,COOH
Ni,Cu,Co,Ni,Fe,Co,Co,Ni,Co,Mo,-0.488033425,COOH
Ni,Co,Ni,Fe,Co,Co,Cu,Ni,Co,Mo,-0.630989805,COOH
Cu,Mo,Cu,Fe,Co,Co,Ni,Fe,Fe,Fe,-0.573835865,COOH
Cu,Fe,Co,Co,Ni,Mo,Cu,Fe,Fe,Fe,-0.201390435,COOH
Cu,Co,Co,Ni,Mo,Cu,Fe,Fe,Fe,Fe,-0.127590865,COOH
Cu,Co,Ni,Mo,Cu,Fe,Co,Fe,Fe,Fe,-0.175018185,COOH
Fe,Cu,Cu,Fe,Co,Mo,Co,Cu,Fe,Fe,-0.340721725,COOH
Fe,Fe,Co,Mo,Co,Cu,Cu,Cu,Fe,Fe,-0.789753015,COOH
Fe,Co,Mo,Co,Cu,Cu,Fe,Cu,Fe,Fe,-0.639962025,COOH
Fe,Mo,Co,Cu,Cu,Fe,Co,Cu,Fe,Fe,-0.940026975,COOH
Co,Mo,Fe,Fe,Co,Ni,Cu,Co,Fe,Fe,-1.104717185,COOH
Ni,Mo,Cu,Co,Cu,Co,Co,Mo,Fe,Fe,-1.017933435,COOH
Ni,Cu,Co,Co,Mo,Cu,Co,Mo,Fe,Fe,-0.499777745,COOH
Mo,Co,Cu,Fe,Cu,Cu,Ni,Fe,Co,Cu,-0.681926365,COOH
Mo,Fe,Cu,Cu,Ni,Co,Cu,Fe,Co,Cu,-0.811976015,COOH
Mo,Ni,Co,Cu,Fe,Cu,Cu,Fe,Co,Cu,-0.632601045,COOH
Cu,Mo,Fe,Co,Fe,Fe,Cu,Fe,Cu,Fe,-0.594122765,COOH
Cu,Fe,Cu,Mo,Fe,Co,Fe,Fe,Cu,Fe,-0.209944195,COOH
Fe,Cu,Co,Cu,Co,Co,Fe,Fe,Fe,Cu,-0.247504825,COOH
Fe,Co,Cu,Co,Co,Fe,Cu,Fe,Fe,Cu,-0.515834585,COOH
Fe,Co,Fe,Cu,Co,Cu,Co,Fe,Fe,Cu,-0.473002355,COOH
Fe,Fe,Cu,Co,Cu,Co,Co,Fe,Fe,Cu,-0.650341335,COOH
Co,Fe,Cu,Cu,Mo,Ni,Co,Fe,Cu,Co,-1.083502305,COOH
Cu,Fe,Mo,Co,Cu,Co,Mo,Co,Cu,Fe,-0.261319895,COOH
Fe,Co,Cu,Mo,Cu,Mo,Cu,Cu,Fe,Mo,-0.944416255,COOH
Fe,Mo,Cu,Mo,Cu,Co,Cu,Cu,Fe,Mo,-1.236038915,COOH
Co,Cu,Co,Cu,Fe,Cu,Fe,Fe,Mo,Co,-0.578209035,COOH
Co,Co,Cu,Fe,Cu,Fe,Cu,Fe,Mo,Co,-0.606426705,COOH
Co,Fe,Cu,Fe,Cu,Co,Cu,Fe,Mo,Co,-0.811853745,COOH
Cu,Co,Co,Cu,Co,Fe,Co,Cu,Co,Cu,-0.103272015,COOH
Cu,Fe,Co,Co,Co,Cu,Co,Cu,Co,Cu,-0.282850325,COOH
Co,Mo,Cu,Cu,Co,Cu,Fe,Cu,Fe,Cu,-1.155541735,COOH
Mo,Fe,Co,Cu,Fe,Cu,Co,Fe,Cu,Co,-0.751147395,COOH
Mo,Co,Cu,Fe,Cu,Co,Fe,Fe,Cu,Co,-0.546985355,COOH
Mo,Cu,Fe,Cu,Co,Fe,Co,Fe,Cu,Co,-0.579302765,COOH
Co,Ni,Cu,Co,Cu,Co,Cu,Co,Mo,Fe,-0.594795865,COOH
Co,Co,Cu,Co,Cu,Ni,Cu,Co,Mo,Fe,-0.646851445,COOH
Co,Cu,Co,Cu,Ni,Cu,Co,Co,Mo,Fe,-0.283848275,COOH
Co,Co,Cu,Ni,Cu,Co,Cu,Co,Mo,Fe,-0.525456785,COOH
Co,Fe,Fe,Co,Fe,Co,Ni,Fe,Fe,Mo,-0.712345705,COOH
Co,Co,Fe,Co,Ni,Fe,Fe,Fe,Fe,Mo,-0.822007035,COOH
Fe,Co,Co,Mo,Co,Co,Co,Cu,Mo,Mo,-0.762949665,COOH
Fe,Mo,Co,Co,Co,Co,Co,Cu,Mo,Mo,-1.113071285,COOH
Fe,Co,Co,Co,Mo,Co,Co,Cu,Mo,Mo,-0.598758905,COOH
Co,Mo,Co,Fe,Mo,Co,Fe,Mo,Mo,Fe,-1.525070025,COOH
Fe,Fe,Co,Ni,Mo,Co,Co,Cu,Fe,Fe,-0.833641875,COOH
Fe,Mo,Co,Co,Fe,Co,Ni,Cu,Fe,Fe,-1.111209535,COOH
Fe,Co,Co,Fe,Co,Mo,Fe,Fe,Fe,Co,-0.687137165,COOH
Co,Fe,Ni,Mo,Fe,Co,Fe,Mo,Co,Co,-0.864147535,COOH
Co,Ni,Mo,Fe,Co,Fe,Fe,Mo,Co,Co,-0.636591855,COOH
Co,Mo,Fe,Co,Fe,Fe,Ni,Mo,Co,Co,-1.187916985,COOH
Co,Co,Fe,Fe,Ni,Mo,Fe,Mo,Co,Co,-0.890306545,COOH
Mo,Co,Ni,Cu,Co,Co,Fe,Mo,Co,Fe,-0.604941865,COOH
Mo,Cu,Co,Co,Fe,Co,Ni,Mo,Co,Fe,-0.392543335,COOH
Mo,Co,Fe,Co,Ni,Cu,Co,Mo,Co,Fe,-0.655582625,COOH
Co,Fe,Co,Mo,Cu,Mo,Fe,Fe,Fe,Fe,-0.886209415,COOH
Mo,Cu,Co,Co,Fe,Fe,Co,Fe,Mo,Mo,-0.470989415,COOH
